PublishYear,afr,ang,ara,cat,chp,elx,en-CA,en-GB,en-US,eng,enm,fil,fin,fre,frm,frs,ger,gla,gle,glg,grc,gre,guj,heb,hin,hun,hye,ind,ita,jpn,kor,lao,lat,lit,msa,mul,myn,nav,nl,nor,per,pol,por,raj,rus,sco,scr,spa,srp,swe,tam,tgl,tha,tlh,tur,urd,wak,wel,ypk,zho
1969.0,,,,,,,,3.8333333333333335,4.024,3.853764705882353,,,,4.16,,,3.74,,,,4.21,,,,,,,,,,,,4.48,,,3.975,,,,,,,,,,,,,,,,,,,,,,,,
1970.0,,,,,,,,4.3100000000000005,4.056666666666667,3.9516049382716045,,,,3.685,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971.0,,,,,,,,4.176666666666667,4.057,3.8021428571428575,,,,2.6166666666666667,,,,,,,,,,,,,,,3.8499999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972.0,,,,,,,,3.6950000000000003,4.05,3.855851063829787,,,,3.8775,,,3.904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.03,,,,,,,,,,,,
1973.0,4.0,,,,,,,3.7159999999999997,3.974,3.769821428571429,,,,3.7284615384615383,,,4.05,,,,4.1,,,,,,,,,,,,,,,3.83,,,,,3.87,,,,,,,4.51,,,,,,,,,,,,
1974.0,,,,,,,,4.0325,3.9771428571428573,3.8899166666666667,,,,4.0525,,,4.33,,,,,,,,,,,,4.02,,,,,,,4.42,,,,,,,,,,,,3.295,,,,,,,,,,,,
1975.0,,,,,,,,3.67,4.046363636363636,3.9365648854961828,,,,3.665,,,3.0,,,,3.645,,,,,,,,,,,,4.06,,,,,,,,,,,,,,,3.965,,,,,,,,,,,,
1976.0,,,,,,,,3.79,4.115454545454546,3.8350314465408806,,,,3.5975,,,2.9316666666666666,,,,4.14,,,,,,,,3.74,,,,,,,,,,3.93,,,,,,,,,,,,,,,,,,,,,
1977.0,,,,,,,,4.1000000000000005,4.015,3.8131627906976746,,,,3.491111111111111,,,4.15,,,,,,,,,,,,4.13,,,,,,,,,,,,,,,,,,,3.6950000000000003,,,,,,,,,,,,
1978.0,,,,,,,,3.9799999999999995,3.9316666666666666,3.8435227272727275,,,,2.78375,,,3.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.22,,,4.36,,,,,,,,,,,,
1979.0,,,,,,,,4.0375,4.05,3.8732682926829267,,,,3.7342857142857144,,,1.3366666666666667,,,,3.56,,,,,,,,3.37,,,,,,,,,,3.17,,,,,,,,,3.97,,,,,,,,,,,,
1980.0,,,,,,,,4.115714285714286,3.993888888888889,3.89780612244898,,,,3.6908333333333334,,,1.8525,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,3.7800000000000002,,,,,,,,,,,,
1981.0,,,,,,,,3.985,4.020666666666667,3.819098712446352,,,,4.044444444444444,,,3.1228571428571428,,,,4.07,,,,,,,,3.9450000000000003,,,,,,,4.39,,,,,,,,,3.81,,,3.99,,,,,,,,,,,,
1982.0,,,,,,,,4.029999999999999,4.0488,3.8591408934707903,,,,3.7613333333333334,,,3.28,,,,5.0,,,,,,,,3.63,,,,,,,,,,3.7199999999999998,,3.68,,,,,,,4.054,,,,,,,,,,,,
1983.0,,,,,,,,4.102,4.036428571428571,3.8434831460674155,,,,3.8333333333333335,,,3.286363636363636,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,5.0,,,3.8725,,,,,,,,,,,,
1984.0,,,,,,,4.21,4.06,4.013636363636364,3.8754250000000003,,,,3.167857142857143,,,4.175,,,,,,,,,,,,3.67,,,,,,,,,,,,,,4.41,,,,,4.10625,,,,,,,,,,,,
1985.0,,,,,,,,3.7155555555555555,3.959285714285714,3.8436538461538463,,,,3.6682608695652177,,4.35,3.34,,4.22,,,,,,,,,,4.23,3.96,,,4.11,,,,,,,,,,4.55,,4.39,0.0,,3.8166666666666664,,,,,,,,,,,,3.96
1986.0,,,0.0,,,,,3.43125,3.9496491228070174,3.846633466135458,,,,3.6740625,,,3.018,,,,3.5,,,,,,,,4.21,,,,4.0,,,,,,,,,,,,,,,3.885625,,,,,,,,,,,,
1987.0,,,,,,,,3.9055555555555554,3.977966101694915,3.8299658119658124,4.18,,,3.7377777777777776,,,3.6016666666666666,,,,3.84,,,,,,,,3.84,,,,,,,0.0,,,3.69,,3.04,,,,,,,3.9939999999999998,,,,,,,,,,5.0,,4.22
1988.0,,,3.0,,,,,3.9371428571428573,3.943125,3.831957928802589,,,,3.8076,,,3.9019999999999997,,4.19,,,,,,,,,,3.9933333333333336,,,,3.75,,,,,,,,,,,,,,,4.05,,3.33,,,,,,,,,,
1989.0,,,,,,,,3.8362962962962963,3.992151898734177,3.906693989071038,,,,3.3347826086956522,,,3.376666666666667,,,,4.17,,,,,4.16,,,4.086666666666667,3.8166666666666664,,,,,,4.39,,,,,,,,,2.4450000000000003,,,3.8600000000000003,,,,,,,,,,,,
1990.0,,,,,,,3.91,3.7459090909090906,4.023139534883721,3.868042929292929,,,,3.3939285714285714,,,3.8475,,,,,,,,,,,,3.8166666666666664,,,,,,,2.195,,,,,,,4.2,,,,,3.922222222222222,,,,,,,,,,,,
1991.0,,,,,,,,3.9120833333333334,3.909259259259259,3.865221052631579,,,,3.385652173913044,,,3.965454545454546,,,,3.0,,,,,,,,2.735,4.32,,,3.98,,,,,,,,,,4.29,,,0.0,,3.8541666666666665,,,,,,,,,,,,4.0633333333333335
