PublishYearMonth,Rating
1977.0-5.0,3.4499999999999997
1977.0-6.0,3.128170731707317
1977.0-7.0,3.357066666666667
1977.0-8.0,3.630508474576271
1977.0-9.0,3.3017460317460317
1978.0-1.0,3.0317447916666667
1978.0-10.0,3.4477631578947365
1978.0-11.0,3.6500000000000004
1978.0-12.0,2.870320855614973
1978.0-2.0,3.6288095238095237
1978.0-3.0,3.4105633802816904
1978.0-4.0,3.452272727272727
1978.0-5.0,3.4962068965517243
1978.0-6.0,3.3118421052631577
1978.0-7.0,3.3158139534883717
1978.0-8.0,3.0812
1978.0-9.0,3.3284848484848486
1979.0-1.0,3.1017829457364345
1979.0-10.0,3.7654761904761904
1979.0-11.0,3.295205479452055
1979.0-12.0,2.920558659217877
1979.0-2.0,3.461346153846154
1979.0-3.0,3.178709677419355
1979.0-4.0,3.4215625
1979.0-5.0,3.4683544303797467
1979.0-6.0,3.2350000000000003
1979.0-7.0,3.742
1979.0-8.0,3.205
1979.0-9.0,3.323623188405797
1980.0-1.0,2.8225945945945945
1980.0-10.0,3.376808510638298
1980.0-11.0,3.476666666666667
1980.0-12.0,2.9502525252525253
1980.0-2.0,3.4993220338983053
1980.0-3.0,3.0670588235294116
1980.0-4.0,3.1621666666666663
1980.0-5.0,3.3225316455696206
1980.0-6.0,3.5315624999999997
1980.0-7.0,3.15234375
1980.0-8.0,3.320535714285714
1980.0-9.0,3.388888888888889
1981.0-1.0,2.971461716937355
1981.0-10.0,3.431875
1981.0-11.0,3.3412500000000005
1981.0-12.0,2.87239837398374
1981.0-2.0,3.4130666666666665
1981.0-3.0,3.5042696629213483
1981.0-4.0,3.36
1981.0-5.0,3.277325581395349
1981.0-6.0,3.1519480519480516
1981.0-7.0,3.601641791044776
1981.0-8.0,3.4664285714285716
1981.0-9.0,3.566696428571429
1982.0-1.0,2.9183982683982683
1982.0-10.0,3.5110909090909095
1982.0-11.0,3.237843137254902
1982.0-12.0,3.0969306930693072
1982.0-2.0,3.0306185567010306
1982.0-3.0,3.3210434782608695
1982.0-4.0,3.438541666666667
1982.0-5.0,3.432886597938144
1982.0-6.0,3.3145112781954884
1982.0-7.0,3.7128915662650606
1982.0-8.0,3.7436065573770496
1982.0-9.0,3.593396226415094
1983.0-1.0,2.865461689587426
1983.0-10.0,3.329473684210526
1983.0-11.0,3.43456
